6562,14692
12316,8757
9980,21276
14310,25153
2685,6268
29489,21619
29225,2783
12113,2783
3099,10043
16773,12147
6413,14550
12284,11587
9582,22057
14158,16134
23358,8243
11216,11240
23252,6034
3286,18242
30065,18242
19591,25805
14132,25805
22664,29775
24422,29775
1957,13938
16458,13938
24422,22420
24996,29922
15790,16981
18587,28401
3782,20708
2499,11941
22217,19556
6774,16342
12867,16307
4869,12916
3808,3293
20549,27758
3460,27758
24786,19042
24919,15139
10405,16038
4736,29410
27713,4017
23513,30583
9331,8024
24596,6934
5499,6934
28689,26398
9427,14911
7075,12060
21097,12060
24964,9867
306,13114
29661,19916
17349,25359
12217,3424
23792,15433
4869,15433
25089,30082
27407,557
1104,12445
13792,1141
23996,13506
18753,13377
1845,27014
29937,14746
18180,5041
9820,24584
9072,5283
23792,590
15524,14790
10624,18989
26995,3847
7537,12155
5825,19167
18921,5152
21097,26337
16670,18871
925,17843
5082,22816
20739,14454
29830,5378
26037,12094
10326,12017
24998,23378
2419,8951
11818,27675
11528,24871
11445,13953
16540,19688
20630,19688
8282,3003
15716,29493
667,29493
24717,20565
8166,16121
15085,10529
19052,12867
16782,12867
14006,14611
2052,2709
27187,7830
16734,26177
92,21900
25858,20172
21172,25617
23016,8842
25547,8842
4046,20743
16873,16496
24151,38
8934,15023
4099,28078
13158,23358
19067,8992
11553,23698
19121,11350
8335,11350
11782,7053
30384,14894
658,8799
5974,5081
21548,22437
11212,25468
11605,27558
27992,3016
17054,8165
25491,29290
12778,2315
27350,2315
26582,23517
22126,25096
10306,10326
29682,25430
3762,22766
16224,5339
28605,30034
12636,21506
23403,4256
11264,24682
13098,25803
23852,25803
27784,12269
9333,18121
27995,3416
16014,23055
257,14107
30429,29567
13259,23403
17084,11797
28689,21097
15946,7537
28901,21401
12629,10007
19179,12925
16653,11223
11017,25163
29998,24416
16842,5583
30589,8633
20179,15589
30065,9135
20890,8436
27945,7929
30065,28757
2421,12264
15128,17193
5574,4355
25356,7626
6067,4648
17054,9713
5839,18330
27969,5096
3022,11661
11264,23940
26470,13675
2972,879
11305,24202
27713,11429
20995,20623
13327,28686
24119,16204
19087,4099
27985,3022
13306,17871
12479,23529
29514,15499
16603,14284
